iter	Passed	Remaining
0	1	115
1	2	104
2	3	99
3	3	91
4	4	92
5	5	91
6	6	89
7	7	88
8	8	86
9	9	85
10	10	83
11	11	83
12	12	82
13	13	81
14	14	80
15	15	78
16	15	77
17	16	76
18	17	76
19	18	75
20	19	74
21	20	73
22	21	72
23	22	71
24	23	71
25	24	69
26	25	68
27	26	67
28	27	66
29	28	65
30	28	64
31	29	63
32	30	62
33	31	61
34	32	60
35	33	59
36	34	58
37	35	57
38	36	56
39	37	55
40	37	54
41	38	52
42	39	51
43	40	50
44	40	50
45	41	49
46	42	48
47	43	47
48	44	46
49	45	45
50	46	44
51	47	43
52	48	42
53	49	41
54	49	40
55	50	39
56	51	38
57	52	38
58	53	37
59	54	36
60	55	35
61	56	34
62	56	33
63	57	32
64	58	31
65	59	30
66	60	29
67	61	29
68	62	28
69	63	27
70	64	26
71	65	25
72	66	24
73	67	23
74	68	22
75	68	21
76	69	20
77	70	19
78	71	19
79	72	18
80	73	17
81	74	16
82	75	15
83	76	14
84	76	13
85	77	12
86	78	11
87	79	10
88	80	9
89	81	9
90	82	8
91	83	7
92	84	6
93	85	5
94	86	4
95	86	3
96	87	2
97	88	1
98	89	0
99	90	0
